feature,importance,normalized_importance,cumulative_importance
секретный_скор,43.395163947737416,0.4339516394773739,0.4339516394773739
объем_данных,4.658021335477878,0.04658021335477876,0.48053185283215266
onnet_productsum_ratio,3.537393067125666,0.03537393067125664,0.5159057835034093
on_net,3.446333541640906,0.03446333541640904,0.5503691189198183
onnet_volume_ratio,3.192429801113558,0.03192429801113556,0.5822934169309539
revenue_sum_ratio,3.127027129420158,0.03127027129420156,0.6135636882251555
volume_productsum_ratio,2.9114294268792635,0.02911429426879262,0.6426779824939481
onnet_volume_sum,2.8109204744567777,0.02810920474456776,0.6707871872385159
segment_freqsum_ratio,2.66466269494773,0.026646626949477285,0.6974338141879932
packfreq_freqsum_ratio,2.643029203022329,0.026430292030223276,0.7238641062182165
sum_freq_ratio,2.4863857331985106,0.024863857331985092,0.7487279635502015
volume_freq_ratio,2.147135486558602,0.021471354865586007,0.7701993184157876
продукт_1,2.0692316946677196,0.020692316946677183,0.7908916353624648
доход,2.0233664742848756,0.020233664742848743,0.8111253001053135
частота_пополнения,1.9914691964746414,0.019914691964746403,0.8310399920700599
продукт_2,1.8776812397731428,0.018776812397731418,0.8498168044677913
frequencies_sum,1.7265580722749025,0.017265580722749016,0.8670823851905403
pack,1.6769374552443645,0.016769374552443636,0.8838517597429839
product_sum,1.6744257810421357,0.016744257810421347,0.9005960175534052
сегмент_arpu,1.6264149439919169,0.01626414943991916,0.9168601669933244
частота,1.5918266470705387,0.015918266470705378,0.9327784334640298
frequencies_ratio,1.5754164029941131,0.015754164029941124,0.9485325974939709
сумма,1.4678067035656532,0.014678067035656524,0.9632106645296274
mean_сумма_pack,1.4424778063360875,0.014424778063360866,0.9776354425929883
использование,1.2620869607248812,0.012620869607248805,0.9902563122002371
pack_freq,0.974368779976269,0.009743687799762684,0.9999999999999998
